"cpu","memory","averagert","trueparallel","dbaverage","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround"
348.327,13312.00,13.0746392067457158,99.8771689003305230,1.713,1051.00,458365,52,2,15
359.00,13312.00,12.0129371322944391,91.8389043763909869,1.887,1035.00,458757,48,2,14
352.82,13312.00,11.4783159718264913,83.9179680700234779,1.762,1050.00,438710,44,2,13
336.12,12288.00,10.8285102381947346,76.0053133618888422,0.975,1047.00,421168,40,2,12
324.12,1126.40,9.9064524268170195,68.0474217198061069,0.975,1018.00,412186,36,2,11
298.40,999.50,9.4028709238310808,59.7458418500226874,0.563,405.00,381271,32,2,10
241.57,680.50,11.1482620041111234,60.3789870142658443,1.025,2225.00,324972,32,1,9
233.67,679.50,10.2790078145409159,53.1116333777329124,0.917,369.00,310063,28,1,8
226.28,676.90,9.5988372298378409,45.2873140503749334,0.800,245.00,283117,24,1,7
210.28,674.80,8.7313496627397345,37.4487587034907213,0.648,1003.00,257368,20,1,6
174.94,547.30,8.2620517759021130,29.1650427689344589,0.476,2033.00,211836,16,1,5
148.15,404.40,7.4110381209430974,22.1441819053779750,0.419,267.00,179324,12,1,4
102.17,334.40,7.1447996703589694,14.7325769202801949,0.388,1005.00,123771,8,1,3
45.97,309.10,7.7380453785710169,6.7088853432210717,0.368,1867.00,52051,4,1,2
17.43,272.90,7.6963050096872405,1.8471132023249377,0.385,62.00,14452,1,1,1
,,6.9217858341725411,2.7479489761664988,,272.00,23832,1,1,0
