"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround"
91.41,302.30,8.2314205166349854,14.9317968171758635,270.00,108897,8,1,14
46.91,296.30,7.9697360872059667,7.4038848250143431,274.00,55776,4,1,13
15.28,297.90,8.6297153436704467,1.8640185142328165,99.00,12963,1,1,12
221.28,297.90,12.2968816888969788,60.7957830699066632,1026.00,296667,32,1,11
228.97,276.90,11.6294343589792306,61.2057130313076906,1030.00,315801,32,1,10
203.81,274.90,15.8597307578493222,61.6309137250024661,1097.00,233173,32,1,9
189.43,274.90,14.2018705285689492,61.3662825539464295,1037.00,259285,32,1,8
204.43,297.90,12.2879978570591485,61.1573653345833821,1034.00,298655,32,1,7
200.43,298.20,12.3725679591555126,61.2689565337380984,1031.00,297127,32,1,6
183.36,298.30,13.2582408486994573,61.3989133703271868,1032.00,277884,32,1,5
233.46,295.80,14.6852417424224348,61.5458481424924243,3020.00,251466,32,1,4
199.12,261.50,12.7680041847236801,61.4268681327056250,1021.00,288669,32,1,3
196.82,259.90,12.3324956829650135,61.1691785875064669,1025.00,297658,32,1,2
202.88,257.80,12.8718429686457170,61.0640230432552814,1025.00,284682,32,1,1
,,15.8632036220721086,61.9458101441915841,3086.00,234341,32,1,0
