"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround"
334.74,622.00,19.8962982436627266,163.9653938260245299,3058.00,494495,84,2,22
342.78,621.80,19.3847695224847025,156.0667794255243399,3147.00,483084,80,2,21
329.25,619.20,18.4381335709256755,147.9475837731076201,3053.00,481497,76,2,20
328.15,618.00,18.0879006593141582,140.0003511030915846,3047.00,464422,72,2,19
309.781,617.50,17.1368646311807620,132.1252263064036751,3062.00,462625,68,2,18
348.31,611.90,16.2332298212258106,122.2199873240091281,3036.00,451799,64,2,17
328.47,607.90,15.2345758916857628,116.1179374464288840,3037.00,457336,60,2,16
324.08,607.90,14.5069639253900290,108.0768812441557161,3042.00,447018,56,2,15
299.71,601.90,13.8541821794868839,100.1518829755106838,1213.00,433781,52,2,14
328.64,594.90,13.3296381817350037,92.2544258557879606,3034.00,415319,48,2,13
299.64,598.30,12.3285851086381789,84.3151935579765055,1037.00,410399,44,2,12
293.41,540.30,11.7997110524989846,76.4975267533509172,1057.00,388998,40,2,11
280.80,538.20,10.9310571310810631,68.5049350404850224,1030.00,376065,36,2,10
266.00,537.10,10.6151148793635840,60.8458384885120635,1021.00,343926,32,2,9
242.42,531.80,10.0448673834672862,53.0268549173238038,255.00,316778,28,2,8
214.82,529.30,9.7013152826716501,45.3342463159246209,255.00,280396,24,2,7
194.87,525.60,8.9757088726496951,37.5812930497842734,215.00,251244,20,2,6
173.28,523.90,8.5330264344359546,29.9594558113046366,207.00,210710,16,2,5
138.53,520.00,7.9805104767345676,22.3454293348567893,262.00,168039,12,2,4
99.56,510.80,7.5661605021333856,14.7994099421729022,1002.00,117419,8,2,3
72.40,498.10,8.4299786108296747,7.4858210064167511,295.00,53298,4,2,2
17.74,446.10,6.5340020299719386,1.8229865663621709,60.00,16749,1,2,1
,,8.2478379776775815,1.8557635449774558,113.00,13529,1,2,0
