"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround","loadgeneratorparallel"
495.53,1228.80,32.9142018444276192,353.5643562128414859,5081.00,644536,90,3,102,3
477.43,1126.40,22.3360700033255737,232.8311937146657802,3040.00,625456,60,3,101,3
441.43,1126.40,17.5118862840747983,173.7354238243060739,3020.00,595308,60,3,100,2
426.29,1126.40,18.2066644566644567,186.7275506675506680,3047.00,615384,96,3,32,1
422.462,1126.40,17.7858505024397114,178.9078702040410569,3030.00,603555,92,3,31,1
423.62,1126.40,17.0643590716372809,170.9166204615190056,3045.00,600972,88,3,30,1
426.37,1126.40,16.7497578141313315,163.0923918361967748,3040.00,584262,84,3,29,1
429.86,1126.40,16.1401396814817900,154.9776212215881476,1222.00,576168,80,3,28,1
395.869,1126.40,15.9188658370902119,147.2335901272473700,1099.00,554982,76,3,27,1
408.228,1126.40,15.9330966542013252,147.1899468915118422,3018.00,554337,76,3,26,1
406.69,1126.40,16.1101725963825665,147.2953080487258055,3029.00,548621,76,3,25,1
404.228,1126.40,14.6988648770488916,139.1100571963907101,1054.00,567868,72,3,24,1
411.228,1126.40,14.3052469635333034,131.0932831738191923,1041.00,549899,68,3,23,1
404.31,1126.40,15.1863530652949013,131.4682584862579606,3211.00,519428,68,3,22,1
390.31,1126.40,13.8370869495309070,123.3437930681185049,1101.00,534862,64,3,21,1
407.062,1126.40,13.0395624990572726,115.2566929291672326,3016.00,530376,60,3,20,1
374.84,1126.40,12.2438529345746037,107.2683955598081030,1039.00,525698,56,3,19,1
372.84,1126.40,12.8750087269085998,107.5706979133213513,1041.00,501323,56,3,18,1
367.462,1126.40,12.4789244458906424,99.7066063226662328,1058.00,479418,52,3,17,1
352.062,1126.40,11.8900008416981584,91.8145864995931791,1039.00,463349,48,3,16,1
340.062,1126.40,11.9322824718998902,91.8069813387977552,1058.00,461653,48,3,15,1
361.62,1136.40,10.9760859126031344,83.8024159427249311,1037.00,458140,44,3,14,1
324.95,1024.00,10.7420333589119515,76.0535961810966166,1028.00,424834,40,3,13,1
327.37,1024.00,10.6016474709508964,76.0562189566017308,1054.00,430478,40,3,12,1
327.58,1024.00,9.9545005499158093,68.1783742663733779,223.00,410972,36,3,11,1
291.99,1024.00,9.5416646932836567,60.4369041672586816,1005.00,380058,32,3,10,1
263.67,1024.00,9.2759681887126150,52.7895349619634920,1014.00,341514,28,3,9,1
,,9.2392601344944787,52.7746538882324623,1028.00,342765,28,3,8,1
238.72,1024.00,8.9467060995216451,45.0735053293900480,271.00,302286,24,3,7,1
211.14,1024.00,8.4923759482745567,37.3834389243045986,267.00,264164,20,3,6,1
186.14,1024.00,8.0507989248618934,29.7960068209138675,254.00,222111,16,3,5,1
138.80,1024.00,7.8746890016880665,22.3089939417822924,270.00,170017,12,3,4,1
99.00,1024.00,7.5923866698502575,14.8355235528874032,259.00,117268,8,3,3,1
59.24,1023.70,7.3584833903798138,7.4099927741124725,1008.00,60477,4,3,2,1
16.66,993.90,7.8485081405911537,1.8679449374606946,219.00,14311,1,3,1,1
,,7.6827586206896552,0.18438620689655172487,55.00,1450,1,3,0,1
