"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround","loadgeneratorparallel","apptype"
,,11.6517597976121788,21.8703531401180596,200.00,112655,32,1,10,1,"node"
,,13.6999901714381994,16.2618883334971427,449.00,71221,32,1,9,1,"node"
95.14,191.00,11.9834562195077217,21.7739399508455303,204.00,109044,28,1,8,1,"node"
95.73,165.80,11.5369422222222222,21.6317666666666666,254.00,112500,24,1,7,1,"node"
96.13,137.70,11.5660622940673184,21.1774600604372600,288.00,109866,20,1,6,1,"node"
96.46,103.60,11.5336301958561162,21.0142742168498437,263.00,109366,16,1,5,1,"node"
85.20,96.60,13.5259441351553274,18.7063807389198178,367.00,82986,12,1,4,1,"node"
79.95,90.60,10.6873835933329379,15.0050865650394448,181.00,84295,8,1,3,1,"node"
50.50,80.20,8.1258569584113764,7.4432849739048208,275.00,54991,4,1,2,1,"node"
137.95,80.10,8.3481669528858359,3.7232824609870828,265.00,26786,1,1,1,1,"node"
