"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround","loadgeneratorparallel","apptype"
287.29,268.30,21.0471209599338577,128.9767572424746799,1012.00,367692,66,3,18,1,"node"
289.11,274.50,19.6752122148997912,120.9041790605592170,1038.00,368730,62,3,17,1,"node"
288.89,274.50,19.0111866545174178,113.0024934744515314,1024.00,356675,58,3,16,1,"node"
278.89,266.50,17.8663183765105408,105.0360857355054693,407.00,352771,54,3,15,1,"node"
287.53,270.50,17.2954616124127425,101.0400867397152417,1056.00,350543,52,3,14,1,"node"
279.30,272.30,16.0554554819550992,92.9931981514839346,259.00,347522,48,3,13,1,"node"
269.47,270.70,15.6664255922921576,85.1940223708847531,1021.00,326317,44,3,12,1,"node"
278.47,271.70,14.2623057333862976,77.1875986290866426,257.00,324747,40,3,11,1,"node"
267.47,273.70,13.0739497120558895,69.2396376750479908,219.00,317770,36,3,10,1,"node"
267.47,271.70,12.1177267245299433,61.2793440459479232,253.00,303474,32,3,9,1,"node"
261.64,269.40,11.7216187480132850,53.4623031096885929,369.00,273693,28,3,8,1,"node"
240.64,268.40,10.0469332803637246,45.5126077600476724,1011.00,271854,24,3,7,1,"node"
203.38,270.40,9.9887753620957349,37.8474698469807395,265.00,227357,20,3,6,1,"node"
178.98,269.40,8.9416998639119139,30.1067034417914141,1005.00,202075,16,3,5,1,"node"
143.33,273.40,8.2496949929802404,22.4226709909202934,250.00,163111,12,3,4,1,"node"
96.83,276.70,7.9223818719770388,14.9020003011888100,256.00,112886,8,3,3,1,"node"
53.33,267.80,7.7107093425605536,7.4254130968858131,235.00,57800,4,3,2,1,"node"
17.95,218.53,7.3449839914621131,1.8289010138740662,208.00,14992,1,3,1,1,"node"
,,7.9270021261516655,0.18232104890148830646,65.00,1411,1,3,0,1,"node"
