cpu,memory,averagert,trueparallel,maxrt,totalrequests,loadgeneratorinstances,appinstances,testround,loadgeneratorparallel,apptype
449.65,462.6,19.63640782,187.1742394,1014,571932,96,5,27,1,node
471.65,467.4,18.8849048,179.1799767,1050,569320,92,5,26,1,node
467.28,465.4,18.05520037,171.1813547,1038,568873,88,5,25,1,node
444.08,463.4,17.94435079,163.3833139,1017,546333,84,5,24,1,node
439.08,458.4,16.98918595,155.2811596,261,548453,80,5,23,1,node
441.08,464.4,16.50647454,147.2707658,1017,535328,76,5,22,1,node
446.08,466.4,15.90997844,139.435051,1030,525874,72,5,21,1,node
427.08,458.9,15.94788623,131.7295403,382,495608,68,5,20,1,node
425.35,464.9,14.74216189,123.5918142,656.5,503090,64,5,18.5,1,node
421.64,457.6,13.83389808,115.5960524,1009,501403,60,5,17,1,node
410.77,463.8,13.35178436,107.6954926,1020,483984,56,5,16,1,node
408.5,458.8,12.66398514,99.77953893,1016,472741,52,5,15,1,node
394.04,460.8,11.96150491,91.86435771,1007,460838,48,5,14,1,node
390.04,463.8,11.31400623,83.92729823,1008,445109,44,5,12,1,node
364.57,455.1,10.78256189,76.12488696,271,423601,40,5,11,1,node
348.57,461.7,10.12850626,68.22561815,233,404206,36,5,10,1,node
324.07,460.1,9.612549175,60.47254686,226,377475,32,5,9,1,node
291.74,463,9.134634825,52.70684294,1005,346218,28,5,8,1,node
252.64,465.4,8.685912522,45.0190846,250,311028,24,5,7,1,node
211.75,462.4,8.588877259,37.47327148,1020,261788,20,5,6,1,node
188.94,463.4,8.159633328,29.85609835,255,219597,16,5,5,1,node
143.11,465.3,7.906089292,22.36632661,1007,169757,12,5,4,1,node
105.99,462.3,7.487231302,14.81723075,253,118767,8,5,3,1,node
62.78,449.6,7.100603427,7.349124547,258,62145,4,5,2,1,node
18.02,336.6,7.958389452,1.870221521,96,14107,1,5,1,1,node
,,7.788742182,0.17914107,89,1439,1,4,0,1,node
